,name,type,location,time_start,time_end,time_res,n_time,n_vars,n_locations,path
0,train_location_train_period_annual,train,train_location,1928-01-01,2013-12-31,annual,86,56,129624,train/train_location_train_period_annual.zarr
1,train_location_train_period_monthly,train,train_location,1928-01-01,2013-12-31,monthly,1032,16,129624,train/train_location_train_period_monthly.zarr
2,train_location_train_period_daily,train,train_location,1928-01-01,2013-12-31,daily,31390,13,129624,train/train_location_train_period_daily.zarr
3,train_location_val_period_early_annual,val,train_location,1919-01-01,1927-12-31,annual,9,56,129624,val/train_location_val_period_early_annual.zarr
4,train_location_val_period_early_monthly,val,train_location,1919-01-01,1927-12-31,monthly,108,16,129624,val/train_location_val_period_early_monthly.zarr
5,train_location_val_period_early_daily,val,train_location,1919-01-01,1927-12-31,daily,3285,13,129624,val/train_location_val_period_early_daily.zarr
6,train_location_val_period_late_annual,val,train_location,2014-01-01,2017-12-31,annual,4,56,129624,val/train_location_val_period_late_annual.zarr
7,train_location_val_period_late_monthly,val,train_location,2014-01-01,2017-12-31,monthly,48,16,129624,val/train_location_val_period_late_monthly.zarr
8,train_location_val_period_late_daily,val,train_location,2014-01-01,2017-12-31,daily,1460,13,129624,val/train_location_val_period_late_daily.zarr
9,train_location_test_period_early_annual,test,train_location,1901-01-01,1918-12-31,annual,18,56,129624,test/train_location_test_period_early_annual.zarr
10,train_location_test_period_early_monthly,test,train_location,1901-01-01,1918-12-31,monthly,216,16,129624,test/train_location_test_period_early_monthly.zarr
11,train_location_test_period_early_daily,test,train_location,1901-01-01,1918-12-31,daily,6570,13,129624,test/train_location_test_period_early_daily.zarr
12,train_location_test_period_late_annual,test,train_location,2018-01-01,2023-12-31,annual,6,56,129624,test/train_location_test_period_late_annual.zarr
13,train_location_test_period_late_monthly,test,train_location,2018-01-01,2023-12-31,monthly,72,16,129624,test/train_location_test_period_late_monthly.zarr
14,train_location_test_period_late_daily,test,train_location,2018-01-01,2023-12-31,daily,2190,13,129624,test/train_location_test_period_late_daily.zarr
15,val_location_whole_period_annual,val,val_location,1901-01-01,2023-12-31,annual,123,56,14364,val/val_location_whole_period_annual.zarr
16,val_location_whole_period_monthly,val,val_location,1901-01-01,2023-12-31,monthly,1476,16,14364,val/val_location_whole_period_monthly.zarr
17,val_location_whole_period_daily,val,val_location,1901-01-01,2023-12-31,daily,44895,13,14364,val/val_location_whole_period_daily.zarr
18,test_location_whole_period_annual,test,test_location,1901-01-01,2023-12-31,annual,123,56,22246,test/test_location_whole_period_annual.zarr
19,test_location_whole_period_monthly,test,test_location,1901-01-01,2023-12-31,monthly,1476,16,22246,test/test_location_whole_period_monthly.zarr
20,test_location_whole_period_daily,test,test_location,1901-01-01,2023-12-31,daily,44895,13,22246,test/test_location_whole_period_daily.zarr
