epoch,timestamp,train_loss,val_loss,val_cnt
1,2025-09-29 15:55:50.669,0.3734,0.197143,2329320
2,2025-09-29 16:19:17.813,0.186821,0.170765,2329320
3,2025-09-29 16:42:51.443,0.157351,0.161894,2329320
4,2025-09-29 17:06:22.694,0.144436,0.159314,2329320
5,2025-09-29 17:29:56.511,0.134787,0.14973,2329320
6,2025-09-29 17:53:29.831,0.1299,0.155163,2329320
7,2025-09-29 18:17:04.062,0.123686,0.163412,2329320
8,2025-09-29 18:40:41.746,0.11963,0.161573,2329320
9,2025-09-29 19:04:16.747,0.117649,0.163679,2329320
10,2025-09-29 19:27:53.703,0.11277,0.142193,2329320
11,2025-09-29 19:51:28.743,0.111865,0.166925,2329320
12,2025-09-29 20:15:13.508,0.107831,0.159595,2329320
13,2025-09-29 20:38:53.021,0.106112,0.146324,2329320
14,2025-09-29 21:02:23.709,0.103303,0.151518,2329320
15,2025-09-29 21:25:56.272,0.104245,0.146841,2329320
16,2025-09-29 21:49:29.045,0.10124,0.145655,2329320
17,2025-09-29 22:13:01.495,0.098513,0.134996,2329320
18,2025-09-29 22:36:36.897,0.096723,0.153398,2329320
19,2025-09-29 23:00:05.444,0.09603,0.16045,2329320
20,2025-09-29 23:23:38.218,0.09446,0.134907,2329320
21,2025-09-29 23:47:08.387,0.093278,0.183975,2329320
22,2025-09-30 00:10:35.718,0.092221,0.165816,2329320
23,2025-09-30 00:34:07.636,0.090656,0.141365,2329320
24,2025-09-30 00:57:37.043,0.090056,0.136356,2329320
25,2025-09-30 01:21:07.652,0.089336,0.191846,2329320
26,2025-09-30 01:44:37.869,0.090524,0.160082,2329320
27,2025-09-30 02:08:09.877,0.087774,0.155584,2329320
28,2025-09-30 02:31:36.821,0.086331,0.143325,2329320
29,2025-09-30 02:55:08.344,0.084796,0.133013,2329320
30,2025-09-30 03:18:37.078,0.084026,0.134812,2329320
31,2025-09-30 03:42:10.179,0.083307,0.17427,2329320
32,2025-09-30 04:05:41.481,0.082647,0.142304,2329320
33,2025-09-30 04:29:16.498,0.081746,0.142386,2329320
34,2025-09-30 04:52:49.312,0.081115,0.143174,2329320
35,2025-09-30 05:16:19.523,0.079873,0.140037,2329320
36,2025-09-30 05:39:46.895,0.079179,0.141325,2329320
37,2025-09-30 06:03:13.966,0.078969,0.142563,2329320
38,2025-09-30 06:26:43.886,0.07893,0.152779,2329320
39,2025-09-30 06:50:09.260,0.076397,0.143002,2329320
40,2025-09-30 07:13:35.649,0.076768,0.147335,2329320
41,2025-09-30 07:37:06.953,0.075632,0.146682,2329320
42,2025-09-30 08:00:33.263,0.07488,0.144195,2329320
43,2025-09-30 08:23:56.956,0.074639,0.137535,2329320
44,2025-09-30 08:47:26.427,0.073747,0.179623,2329320
45,2025-09-30 09:10:59.698,0.073997,0.142712,2329320
46,2025-09-30 09:34:27.008,0.072406,0.143826,2329320
47,2025-09-30 09:57:57.003,0.072402,0.143169,2329320
48,2025-09-30 10:21:31.683,0.072157,0.145666,2329320
49,2025-09-30 10:45:00.438,0.070858,0.167578,2329320
50,2025-09-30 11:08:32.522,0.070671,0.169067,2329320
51,2025-09-30 11:32:04.397,0.070396,0.180014,2329320
52,2025-09-30 11:55:34.218,0.07028,0.145391,2329320
53,2025-09-30 12:19:05.044,0.072411,0.189387,2329320
