Experiment,Section,Variable,Source,Model,ScalarName,AnalysisType,Region,ScalarType,Units,Data,Weight
co2,CarbonStocks,CarboninVegetation,ENSMEAN,co2_-100pct,Benchmark Period Mean (intersection),MeanState,global,scalar,g m-2,2557.83,1
co2,CarbonStocks,CarboninVegetation,ENSMEAN,co2_-100pct,Model Period Mean (intersection),MeanState,global,scalar,g m-2,2680.74,1
co2,CarbonStocks,CarboninVegetation,ENSMEAN,co2_-100pct,Benchmark Period Mean (intersection),MeanState,tropics,scalar,g m-2,4373.37,1
co2,CarbonStocks,CarboninVegetation,ENSMEAN,co2_-100pct,Model Period Mean (intersection),MeanState,tropics,scalar,g m-2,3654.92,1
co2,CarbonStocks,CarboninVegetation,ENSMEAN,co2_-100pct,Benchmark Period Mean (intersection),MeanState,subtropics,scalar,g m-2,1636.48,1
co2,CarbonStocks,CarboninVegetation,ENSMEAN,co2_-100pct,Model Period Mean (intersection),MeanState,subtropics,scalar,g m-2,2336.14,1
co2,CarbonStocks,CarboninVegetation,ENSMEAN,co2_-100pct,Benchmark Period Mean (intersection),MeanState,temperate,scalar,g m-2,1041.85,1
co2,CarbonStocks,CarboninVegetation,ENSMEAN,co2_-100pct,Model Period Mean (intersection),MeanState,temperate,scalar,g m-2,1225.24,1
co2,CarbonStocks,CarboninVegetation,ENSMEAN,co2_-100pct,Benchmark Period Mean (intersection),MeanState,boreal,scalar,g m-2,1192.48,1
co2,CarbonStocks,CarboninVegetation,ENSMEAN,co2_-100pct,Model Period Mean (intersection),MeanState,boreal,scalar,g m-2,1469.85,1
co2,CarbonStocks,CarboninVegetation,ENSMEAN,co2_-80pct,Benchmark Period Mean (intersection),MeanState,global,scalar,g m-2,2557.83,1
co2,CarbonStocks,CarboninVegetation,ENSMEAN,co2_-80pct,Model Period Mean (intersection),MeanState,global,scalar,g m-2,2661.72,1
co2,CarbonStocks,CarboninVegetation,ENSMEAN,co2_-80pct,Benchmark Period Mean (intersection),MeanState,tropics,scalar,g m-2,4373.37,1
co2,CarbonStocks,CarboninVegetation,ENSMEAN,co2_-80pct,Model Period Mean (intersection),MeanState,tropics,scalar,g m-2,3774.27,1
co2,CarbonStocks,CarboninVegetation,ENSMEAN,co2_-80pct,Benchmark Period Mean (intersection),MeanState,subtropics,scalar,g m-2,1636.48,1
co2,CarbonStocks,CarboninVegetation,ENSMEAN,co2_-80pct,Model Period Mean (intersection),MeanState,subtropics,scalar,g m-2,2297.97,1
co2,CarbonStocks,CarboninVegetation,ENSMEAN,co2_-80pct,Benchmark Period Mean (intersection),MeanState,temperate,scalar,g m-2,1041.85,1
co2,CarbonStocks,CarboninVegetation,ENSMEAN,co2_-80pct,Model Period Mean (intersection),MeanState,temperate,scalar,g m-2,1220.98,1
co2,CarbonStocks,CarboninVegetation,ENSMEAN,co2_-80pct,Benchmark Period Mean (intersection),MeanState,boreal,scalar,g m-2,1192.48,1
co2,CarbonStocks,CarboninVegetation,ENSMEAN,co2_-80pct,Model Period Mean (intersection),MeanState,boreal,scalar,g m-2,1374.62,1
co2,CarbonStocks,CarboninVegetation,ENSMEAN,co2_80pct,Benchmark Period Mean (intersection),MeanState,global,scalar,g m-2,2557.83,1
co2,CarbonStocks,CarboninVegetation,ENSMEAN,co2_80pct,Model Period Mean (intersection),MeanState,global,scalar,g m-2,2823.2,1
co2,CarbonStocks,CarboninVegetation,ENSMEAN,co2_80pct,Benchmark Period Mean (intersection),MeanState,tropics,scalar,g m-2,4373.37,1
co2,CarbonStocks,CarboninVegetation,ENSMEAN,co2_80pct,Model Period Mean (intersection),MeanState,tropics,scalar,g m-2,4656.77,1
co2,CarbonStocks,CarboninVegetation,ENSMEAN,co2_80pct,Benchmark Period Mean (intersection),MeanState,subtropics,scalar,g m-2,1636.48,1
co2,CarbonStocks,CarboninVegetation,ENSMEAN,co2_80pct,Model Period Mean (intersection),MeanState,subtropics,scalar,g m-2,1996.64,1
co2,CarbonStocks,CarboninVegetation,ENSMEAN,co2_80pct,Benchmark Period Mean (intersection),MeanState,temperate,scalar,g m-2,1041.85,1
co2,CarbonStocks,CarboninVegetation,ENSMEAN,co2_80pct,Model Period Mean (intersection),MeanState,temperate,scalar,g m-2,1131.24,1
co2,CarbonStocks,CarboninVegetation,ENSMEAN,co2_80pct,Benchmark Period Mean (intersection),MeanState,boreal,scalar,g m-2,1192.48,1
co2,CarbonStocks,CarboninVegetation,ENSMEAN,co2_80pct,Model Period Mean (intersection),MeanState,boreal,scalar,g m-2,1217.89,1
co2,CarbonStocks,CarboninVegetation,ENSMEAN,co2_100pct,Benchmark Period Mean (intersection),MeanState,global,scalar,g m-2,2557.83,1
co2,CarbonStocks,CarboninVegetation,ENSMEAN,co2_100pct,Model Period Mean (intersection),MeanState,global,scalar,g m-2,2731.05,1
co2,CarbonStocks,CarboninVegetation,ENSMEAN,co2_100pct,Benchmark Period Mean (intersection),MeanState,tropics,scalar,g m-2,4373.37,1
co2,CarbonStocks,CarboninVegetation,ENSMEAN,co2_100pct,Model Period Mean (intersection),MeanState,tropics,scalar,g m-2,4355.15,1
co2,CarbonStocks,CarboninVegetation,ENSMEAN,co2_100pct,Benchmark Period Mean (intersection),MeanState,subtropics,scalar,g m-2,1636.48,1
co2,CarbonStocks,CarboninVegetation,ENSMEAN,co2_100pct,Model Period Mean (intersection),MeanState,subtropics,scalar,g m-2,2184.39,1
co2,CarbonStocks,CarboninVegetation,ENSMEAN,co2_100pct,Benchmark Period Mean (intersection),MeanState,temperate,scalar,g m-2,1041.85,1
co2,CarbonStocks,CarboninVegetation,ENSMEAN,co2_100pct,Model Period Mean (intersection),MeanState,temperate,scalar,g m-2,1170.29,1
