"Section","Variable","Source","Model","ScalarName","AnalysisType","Region","ScalarType","Units","Data","Weight"
"CarbonCycle","NetBiomeProductivity","ENSMEAN","CLASSIC","Benchmark Period Mean (intersection)","MeanState","global","scalar","g m-2 d-1","0.00757634","1.0"
"CarbonCycle","NetBiomeProductivity","ENSMEAN","CLASSIC","Benchmark Period Mean (complement)","MeanState","global","scalar","g m-2 d-1","nan","1.0"
"CarbonCycle","NetBiomeProductivity","ENSMEAN","CLASSIC","Period Mean (original grids)","MeanState","global","scalar","g m-2 d-1","0.0126616","1.0"
"CarbonCycle","NetBiomeProductivity","ENSMEAN","CLASSIC","Model Period Mean (intersection)","MeanState","global","scalar","g m-2 d-1","0.0123847","1.0"
"CarbonCycle","NetBiomeProductivity","ENSMEAN","CLASSIC","Model Period Mean (complement)","MeanState","global","scalar","g m-2 d-1","0.0137775","1.0"
"CarbonCycle","NetBiomeProductivity","ENSMEAN","CLASSIC","Spatial Distribution Score","MeanState","global","score","1","0.542434","1.0"
"CarbonCycle","NetBiomeProductivity","ENSMEAN","CLASSIC","Phase Shift","MeanState","global","scalar","months","1.22009","1.0"
"CarbonCycle","NetBiomeProductivity","ENSMEAN","CLASSIC","Seasonal Cycle Score","MeanState","global","score","1","0.837299","1.0"
"CarbonCycle","NetBiomeProductivity","ENSMEAN","CLASSIC","Bias","MeanState","global","scalar","g m-2 d-1","0.00480836","1.0"
"CarbonCycle","NetBiomeProductivity","ENSMEAN","CLASSIC","Bias Score","MeanState","global","score","1","0.91306","1.0"
"CarbonCycle","NetBiomeProductivity","ENSMEAN","CLASSIC","RMSE","MeanState","global","scalar","g m-2 d-1","0.582781","1.0"
"CarbonCycle","NetBiomeProductivity","ENSMEAN","CLASSIC","RMSE Score","MeanState","global","score","1","0.406363","1.0"
"CarbonCycle","NetBiomeProductivity","ENSMEAN","CLASSIC","Overall Score","MeanState","global","score","1","0.621104","1.0"
"CarbonCycle","NetBiomeProductivity","ENSMEAN","CLM","Benchmark Period Mean (intersection)","MeanState","global","scalar","g m-2 d-1","0.00757634","1.0"
"CarbonCycle","NetBiomeProductivity","ENSMEAN","CLM","Benchmark Period Mean (complement)","MeanState","global","scalar","g m-2 d-1","nan","1.0"
"CarbonCycle","NetBiomeProductivity","ENSMEAN","CLM","Period Mean (original grids)","MeanState","global","scalar","g m-2 d-1","-0.00194693","1.0"
"CarbonCycle","NetBiomeProductivity","ENSMEAN","CLM","Model Period Mean (intersection)","MeanState","global","scalar","g m-2 d-1","-0.000690597","1.0"
"CarbonCycle","NetBiomeProductivity","ENSMEAN","CLM","Model Period Mean (complement)","MeanState","global","scalar","g m-2 d-1","-0.00486453","1.0"
"CarbonCycle","NetBiomeProductivity","ENSMEAN","CLM","Spatial Distribution Score","MeanState","global","score","1","0.67599","1.0"
"CarbonCycle","NetBiomeProductivity","ENSMEAN","CLM","Phase Shift","MeanState","global","scalar","months","1.30237","1.0"
"CarbonCycle","NetBiomeProductivity","ENSMEAN","CLM","Seasonal Cycle Score","MeanState","global","score","1","0.805517","1.0"
"CarbonCycle","NetBiomeProductivity","ENSMEAN","CLM","Bias","MeanState","global","scalar","g m-2 d-1","-0.00826693","1.0"
"CarbonCycle","NetBiomeProductivity","ENSMEAN","CLM","Bias Score","MeanState","global","score","1","0.926032","1.0"
"CarbonCycle","NetBiomeProductivity","ENSMEAN","CLM","RMSE","MeanState","global","scalar","g m-2 d-1","0.431","1.0"
"CarbonCycle","NetBiomeProductivity","ENSMEAN","CLM","RMSE Score","MeanState","global","score","1","0.453417","1.0"
"CarbonCycle","NetBiomeProductivity","ENSMEAN","CLM","Overall Score","MeanState","global","score","1","0.662875","1.0"
"CarbonCycle","NetBiomeProductivity","ENSMEAN","JSBACH","Benchmark Period Mean (intersection)","MeanState","global","scalar","g m-2 d-1","0.00757634","1.0"
"CarbonCycle","NetBiomeProductivity","ENSMEAN","JSBACH","Benchmark Period Mean (complement)","MeanState","global","scalar","g m-2 d-1","nan","1.0"
"CarbonCycle","NetBiomeProductivity","ENSMEAN","JSBACH","Period Mean (original grids)","MeanState","global","scalar","g m-2 d-1","0.0160464","1.0"
"CarbonCycle","NetBiomeProductivity","ENSMEAN","JSBACH","Model Period Mean (intersection)","MeanState","global","scalar","g m-2 d-1","0.0165194","1.0"
"CarbonCycle","NetBiomeProductivity","ENSMEAN","JSBACH","Model Period Mean (complement)","MeanState","global","scalar","g m-2 d-1","0.00755147","1.0"
"CarbonCycle","NetBiomeProductivity","ENSMEAN","JSBACH","Spatial Distribution Score","MeanState","global","score","1","0.848563","1.0"
"CarbonCycle","NetBiomeProductivity","ENSMEAN","JSBACH","Phase Shift","MeanState","global","scalar","months","1.19739","1.0"
"CarbonCycle","NetBiomeProductivity","ENSMEAN","JSBACH","Seasonal Cycle Score","MeanState","global","score","1","0.829476","1.0"
"CarbonCycle","NetBiomeProductivity","ENSMEAN","JSBACH","Bias","MeanState","global","scalar","g m-2 d-1","0.0089431","1.0"
"CarbonCycle","NetBiomeProductivity","ENSMEAN","JSBACH","Bias Score","MeanState","global","score","1","0.932978","1.0"
"CarbonCycle","NetBiomeProductivity","ENSMEAN","JSBACH","RMSE","MeanState","global","scalar","g m-2 d-1","0.439413","1.0"
"CarbonCycle","NetBiomeProductivity","ENSMEAN","JSBACH","RMSE Score","MeanState","global","score","1","0.447167","1.0"
"CarbonCycle","NetBiomeProductivity","ENSMEAN","JSBACH","Overall Score","MeanState","global","score","1","0.70107","1.0"
"CarbonCycle","NetBiomeProductivity","ENSMEAN","ORCHIDEE","Benchmark Period Mean (intersection)","MeanState","global","scalar","g m-2 d-1","0.00757634","1.0"
"CarbonCycle","NetBiomeProductivity","ENSMEAN","ORCHIDEE","Benchmark Period Mean (complement)","MeanState","global","scalar","g m-2 d-1","nan","1.0"
"CarbonCycle","NetBiomeProductivity","ENSMEAN","ORCHIDEE","Period Mean (original grids)","MeanState","global","scalar","g m-2 d-1","0.00916407","1.0"
"CarbonCycle","NetBiomeProductivity","ENSMEAN","ORCHIDEE","Model Period Mean (intersection)","MeanState","global","scalar","g m-2 d-1","0.00992093","1.0"
"CarbonCycle","NetBiomeProductivity","ENSMEAN","ORCHIDEE","Model Period Mean (complement)","MeanState","global","scalar","g m-2 d-1","0.00648447","1.0"
"CarbonCycle","NetBiomeProductivity","ENSMEAN","ORCHIDEE","Spatial Distribution Score","MeanState","global","score","1","0.794939","1.0"
"CarbonCycle","NetBiomeProductivity","ENSMEAN","ORCHIDEE","Phase Shift","MeanState","global","scalar","months","1.11854","1.0"
"CarbonCycle","NetBiomeProductivity","ENSMEAN","ORCHIDEE","Seasonal Cycle Score","MeanState","global","score","1","0.845382","1.0"
"CarbonCycle","NetBiomeProductivity","ENSMEAN","ORCHIDEE","Bias","MeanState","global","scalar","g m-2 d-1","0.00234458","1.0"
"CarbonCycle","NetBiomeProductivity","ENSMEAN","ORCHIDEE","Bias Score","MeanState","global","score","1","0.935994","1.0"
